zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips
90001,33.97365,-118.24904,Los Angeles,CA,California,TRUE,NA,58974,6941.9,6037
90002,33.94906,-118.24679,Los Angeles,CA,California,TRUE,NA,53402,6890,6037
90003,33.96409,-118.27368,Los Angeles,CA,California,TRUE,NA,74117,7893.6,6037
90004,34.07624,-118.31101,Los Angeles,CA,California,TRUE,NA,61105,7733.4,6037
90005,34.05939,-118.30909,Los Angeles,CA,California,TRUE,NA,38885,12725.2,6037
90006,34.04807,-118.29411,Los Angeles,CA,California,TRUE,NA,58560,11692.7,6037
90007,34.02819,-118.28486,Los Angeles,CA,California,TRUE,NA,42380,6733.4,6037
90008,34.01037,-118.3428,Los Angeles,CA,California,TRUE,NA,31900,4256.9,6037
90010,34.06209,-118.31262,Los Angeles,CA,California,TRUE,NA,4108,4062,6037
90011,34.00689,-118.25861,Los Angeles,CA,California,TRUE,NA,110750,9969.9,6037
90012,34.06679,-118.23878,Los Angeles,CA,California,TRUE,NA,37268,3955.3,6037
90013,34.04435,-118.24,Los Angeles,CA,California,TRUE,NA,13009,7121.5,6037
90014,34.04302,-118.25182,Los Angeles,CA,California,TRUE,NA,9126,11769.5,6037
90015,34.03932,-118.26625,Los Angeles,CA,California,TRUE,NA,23900,5449.7,6037
90016,34.02881,-118.35436,Los Angeles,CA,California,TRUE,NA,46340,4974.1,6037
90017,34.05306,-118.26447,Los Angeles,CA,California,TRUE,NA,27832,15199.6,6037
90018,34.0286,-118.31737,Los Angeles,CA,California,TRUE,NA,52444,6747.9,6037
90019,34.04861,-118.33874,Los Angeles,CA,California,TRUE,NA,62816,6266,6037
90020,34.06638,-118.30986,Los Angeles,CA,California,TRUE,NA,39366,13669.6,6037
90021,34.02909,-118.23889,Los Angeles,CA,California,TRUE,NA,3285,641.5,6037
90022,34.02455,-118.15608,Los Angeles,CA,California,TRUE,NA,66168,5776.9,6037
90023,34.02264,-118.19986,Los Angeles,CA,California,TRUE,NA,46517,4160,6037
90024,34.06565,-118.43521,Los Angeles,CA,California,TRUE,NA,52069,6760.2,6037
90025,34.04551,-118.44583,Los Angeles,CA,California,TRUE,NA,47438,7180.2,6037
90026,34.07883,-118.2637,Los Angeles,CA,California,TRUE,NA,67657,6482.4,6037
90027,34.12515,-118.29049,Los Angeles,CA,California,TRUE,NA,45996,2185.8,6037
90028,34.09982,-118.3268,Los Angeles,CA,California,TRUE,NA,31385,8021.9,6037
90029,34.08983,-118.29467,Los Angeles,CA,California,TRUE,NA,36126,10136,6037
90031,34.08122,-118.21081,Los Angeles,CA,California,TRUE,NA,39497,4357.6,6037
90032,34.0793,-118.17835,Los Angeles,CA,California,TRUE,NA,47857,3837.6,6037
90033,34.05117,-118.21165,Los Angeles,CA,California,TRUE,NA,49695,5856.8,6037
90034,34.03059,-118.39936,Los Angeles,CA,California,TRUE,NA,56416,7023.9,6037
90035,34.05139,-118.38577,Los Angeles,CA,California,TRUE,NA,27725,4703.6,6037
90036,34.07013,-118.34978,Los Angeles,CA,California,TRUE,NA,38111,5992,6037
90037,34.00271,-118.28747,Los Angeles,CA,California,TRUE,NA,67377,9009,6037
90038,34.08882,-118.32671,Los Angeles,CA,California,TRUE,NA,28592,7131.9,6037
90039,34.11242,-118.26153,Los Angeles,CA,California,TRUE,NA,29966,3178.8,6037
90040,33.99318,-118.1489,Los Angeles,CA,California,TRUE,NA,12363,857.3,6037
90041,34.13749,-118.20746,Los Angeles,CA,California,TRUE,NA,29888,3210.9,6037
90042,34.11475,-118.192,Los Angeles,CA,California,TRUE,NA,60509,5169.6,6037
90043,33.98876,-118.33519,Los Angeles,CA,California,TRUE,NA,46358,4363.5,6037
90044,33.95253,-118.29194,Los Angeles,CA,California,TRUE,NA,99980,7565.9,6037
90045,33.95302,-118.40028,Los Angeles,CA,California,TRUE,NA,39795,1428.1,6037
90046,34.10752,-118.36575,Los Angeles,CA,California,TRUE,NA,49828,3395.6,6037
90047,33.95456,-118.30899,Los Angeles,CA,California,TRUE,NA,51057,4188.3,6037
90048,34.07293,-118.3727,Los Angeles,CA,California,TRUE,NA,21766,4437.8,6037
90049,34.08749,-118.48976,Los Angeles,CA,California,TRUE,NA,36610,944.1,6037
90052,33.9783,-118.25891,Los Angeles,CA,California,TRUE,NA,NA,NA,6037
90056,33.99361,-118.36884,Los Angeles,CA,California,TRUE,NA,8058,1378.1,6037
90057,34.06205,-118.27704,Los Angeles,CA,California,TRUE,NA,49771,21837.5,6037
90058,34.00264,-118.21452,Los Angeles,CA,California,TRUE,NA,3003,200.4,6037
90059,33.92709,-118.2491,Los Angeles,CA,California,TRUE,NA,42311,5167,6037
90061,33.92037,-118.27383,Los Angeles,CA,California,TRUE,NA,28755,4091.6,6037
90062,34.0035,-118.30904,Los Angeles,CA,California,TRUE,NA,35908,7265.4,6037
90063,34.0452,-118.18583,Los Angeles,CA,California,TRUE,NA,53846,6329.1,6037
90064,34.0358,-118.42653,Los Angeles,CA,California,TRUE,NA,25988,2694.1,6037
90065,34.10867,-118.22813,Los Angeles,CA,California,TRUE,NA,47389,3332.6,6037
90066,34.00166,-118.43104,Los Angeles,CA,California,TRUE,NA,58851,4725.6,6037
90067,34.0565,-118.41373,Los Angeles,CA,California,TRUE,NA,2560,2297.8,6037
90068,34.12794,-118.32914,Los Angeles,CA,California,TRUE,NA,21590,1041.5,6037
90069,34.09401,-118.38154,West Hollywood,CA,California,TRUE,NA,20035,3594.9,6037
90071,34.05239,-118.25518,Los Angeles,CA,California,TRUE,NA,152,435.4,6037
